id,name,parent_id
656,Harry Potter and Fantastic Beasts Series 1,535
657,Action Wheelers,504
658,Dino,504
659,Dolls,504
660,Little Forest Friends,504
661,Little Robots,504
662,Princess Castle,504
663,Rattles,504
664,Toolo,504
665,Western,504
666,Zooters,504
667,Fantastic Beasts,246
668,Scala,
669,Overwatch,
670,The LEGO Movie II,578
671,Forma,
672,Creator 3-in-1,22
673,Creator Expert,22
674,Early Creator,22
675,The LEGO Movie II,535
676,Hidden Side,
677,Disney Series 2,535
679,Mars Exploration,52
680,Stranger Things,
681,Series 19 Minifigures,535
682,Trolls: World Tour,
683,LEGO Originals,
684,DC Super Heroes,535
685,Galidor,
686,Chinese Traditional Festivals,
687,Frozen,608
688,DOTS,
689,Minions,
690,Super Mario,
691,Harry Potter and Fantastic Beasts Series 2,535
692,Series 20 Minifigures,535
693,Monkie Kid,
694,Brick Sketches,
695,Super Heroes DC,
696,Super Heroes Marvel,
697,Batman,695
698,UCS,697
700,Justice League,695
701,Superman,695
702,Avengers,696
704,Guardians of the Galaxy,696
705,Iron Man,696
706,Spider-Man,696
707,X-Men,696
708,The LEGO Batman Movie,697
709,LEGO Art,
710,Harry Potter,207
711,The LEGO Batman Movie Series 2,535
712,Series 21 Minifigures,535
713,VIDIYO,
714,Looney Tunes,535
715,Marvel Series 1,535
716,Modulex,
717,Speed Racer,
718,Series 22 Minifigures,535
719,BrickLink Designer Program,
720,The Muppets,535
721,Icons,
722,Jurassic World,504
724,Avatar,
725,Series 23 Minifigures,535
728,McDonalds,598
729,Airlines,598
730,Audio and Visual Media,501
731,Bag and Luggage Tags,501
732,Clocks and Watches,501
733,Houseware,501
734,Magnets,501
735,Plush Toys,501
736,Posters and Art Prints,501
737,Role Play Toys and Costumes,501
738,Seasonal,501
739,Stationery and Office Supplies,501
740,Storage,501
741,Tabletop Games and Puzzles,501
742,Video Games and Accessories,501
743,Series 24 Minifigures,535
744,Stuntz,52
745,Disney 100,535
746,Database Sets,301
747,Sonic The Hedgehog,
748,Gabby’s Dollhouse,
749,Dreamzzz,
750,Marvel Series 2,535
751,Marvel,207
752,Animal Crossing,
753,Series 25 Minifigures,535
754,Disney,504
755,Spidey and His Amazing Friends,706
756,Samsonite,365
757,Ideas Books,497
758,Non-fiction Books,497
759,Story Books,497
760,Activity Books,497
761,Activity Books with LEGO Parts,497
